ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
00A,Total RF Heliport,Bensalem,US-PA,,00A,40.070985,-74.933689,00A
00AA,Aero B Ranch Airport,Leoti,US-KS,,00AA,38.704022,-101.473911,00AA
00AK,Lowell Field,Anchor Point,US-AK,,00AK,59.947733,-151.692524,00AK
00AL,Epps Airpark,Harvest,US-AL,,00AL,34.86479949951172,-86.77030181884766,00AL
00AN,Katmai Lodge Airport,King Salmon,US-AK,,00AN,59.093287,-156.456699,00AN
00AS,Fulton Airport,Alex,US-OK,,00AS,34.9428028,-97.8180194,00AS
00AZ,Cordes Airport,Cordes,US-AZ,,00AZ,34.305599212646484,-112.16500091552734,00AZ
00CA,Goldstone (GTS) Airport,Barstow,US-CA,,00CA,35.35474,-116.885329,00CA
00CL,Williams Ag Airport,Biggs,US-CA,,00CL,39.427188,-121.763427,00CL
00CN,Kitchen Creek Helibase Heliport,Pine Valley,US-CA,,00CN,32.7273736,-116.4597417,00CN
00FA,Grass Patch Airport,Bushnell,US-FL,,00FA,28.64550018310547,-82.21900177001953,00FA
00FL,River Oak Airport,Okeechobee,US-FL,,00FL,27.230899810791016,-80.96920013427734,00FL
00GA,Lt World Airport,Lithonia,US-GA,,00GA,33.76750183105469,-84.06829833984375,00GA
00GE,Caffrey Heliport,Hiram,US-GA,,00GE,33.887982,-84.736983,00GE
00HI,Kaupulehu Heliport,Kailua-Kona,US-HI,,00HI,19.832881,-155.978347,00HI
00ID,Delta Shores Airport,Clark Fork,US-ID,,00ID,48.145301818847656,-116.21399688720705,00ID
00IG,Goltl Airport,McDonald,US-KS,,00IG,39.724028,-101.395994,00IG
00IL,Hammer Airport,Polo,US-IL,,00IL,41.978401,-89.560402,00IL
00IN,St Mary Medical Center Heliport,Hobart,US-IN,,00IN,41.51139831542969,-87.2605972290039,00IN
00IS,Hayenga's Cant Find Farms Airport,Kings,US-IL,,00IS,40.02560043334961,-89.1229019165039,00IS
00KS,Hayden Farm Airport,Gardner,US-KS,,00KS,38.72779846191406,-94.93049621582033,00KS
