airport,lat,lon,year,month,temp_mean,temp_min,temp_max,precip_sum,windspeed_max
DTW,42.21377,-83.353786,2015,8,21.465625,14.0,31.2,58.8,32.6
GSP,34.895699,-82.218903,2022,5,21.543750000000003,8.0,33.1,99.10000000000001,24.1
OKC,35.393388,-97.598248,2013,11,8.838709677419352,-4.4,23.5,27.7,32.6
BTR,30.533199,-91.149597,2021,3,16.796875,3.1,27.7,171.60000000000002,36.1
BOS,42.36197,-71.0079,2016,10,12.434375,3.2,24.5,113.29999999999998,38.4
MSP,44.880081,-93.221741,2014,12,-4.75,-23.3,10.0,27.9,25.8
PBI,26.683201,-80.095596,2013,11,23.425806451612896,14.8,30.8,69.0,29.7
MDT,40.193501,-76.763397,2023,5,15.9375,3.7,31.8,18.799999999999997,24.1
DCA,38.8521,-77.037697,2022,3,9.3125,-6.7,25.0,94.6,36.1
ROC,43.1189,-77.672401,2022,1,-6.6875,-22.2,9.8,88.69999999999999,27.4
EWR,40.692501,-74.168701,2017,10,16.515625,4.2,29.7,117.6,34.2
JAN,32.311199,-90.075897,2020,5,21.940624999999997,7.5,33.8,87.6,39.7
RDU,35.877602,-78.787498,2015,7,26.59375,20.0,35.2,68.89999999999999,16.6
ATL,33.6367,-84.428101,2022,6,25.31290322580646,16.0,35.9,184.6,24.5
AMA,35.219398,-101.706001,2019,6,23.306451612903224,12.7,35.8,41.5,47.5
ABQ,35.039976,-106.608925,2021,8,25.612499999999997,16.6,35.2,6.1000000000000005,32.1
RST,43.908298,-92.5,2021,10,12.059375,-2.3,25.3,61.7,33.1
SNA,33.675701,-117.867996,2015,4,17.174193548387095,10.3,28.8,4.1,28.0
AMA,35.219398,-101.706001,2021,11,11.106451612903227,-2.2,28.5,1.5,36.3
TYS,35.811001,-83.994003,2016,1,2.778125,-8.6,17.6,108.2,28.1
MLB,28.1028,-80.645302,2016,6,26.880645161290317,22.3,32.2,200.7,29.8
BOI,43.5644,-116.223,2021,5,15.356250000000001,3.3,31.9,22.9,34.9
SFO,37.619806,-122.374821,2018,5,13.515625,9.8,22.9,1.6,39.8
STL,38.748697,-90.370003,2018,10,14.462499999999999,0.8,30.5,122.39999999999999,31.7
FLG,35.1385,-111.670998,2015,5,11.225,-0.9,26.1,71.4,28.7
RDU,35.877602,-78.787498,2016,8,26.634375,18.8,34.5,93.39999999999999,14.6
RDM,44.254101,-121.150002,2018,9,14.819354838709678,2.2,31.4,0.5,30.9
ATL,33.6367,-84.428101,2018,4,13.964516129032258,1.5,26.3,132.10000000000002,34.3
LIT,34.729582,-92.223728,2022,9,24.46451612903226,11.0,38.3,26.200000000000003,22.7
SPS,33.9888,-98.491898,2014,6,27.935483870967737,17.7,39.8,110.8,33.7
ORD,41.9786,-87.9048,2019,3,0.9125000000000001,-19.5,19.0,81.19999999999999,38.0
FSD,43.585463,-96.741152,2019,2,-12.196551724137931,-27.2,11.4,44.6,61.6
MEM,35.0424,-89.9767,2023,6,25.758064516129036,16.6,36.7,100.9,24.7
DVL,48.115454,-98.908796,2021,6,21.735483870967744,9.0,36.1,31.499999999999996,47.7
MEM,35.0424,-89.9767,2019,5,22.4375,11.1,32.0,100.9,29.6
CVG,39.048801,-84.667801,2021,11,5.622580645161292,-4.4,19.4,50.8,29.1
BDL,41.93851,-72.688066,2022,8,24.4125,13.7,36.2,54.5,21.5
SNA,33.675701,-117.867996,2015,5,16.303125,9.9,27.5,23.299999999999997,22.7
ABQ,35.039976,-106.608925,2013,9,19.812903225806444,5.2,33.9,126.89999999999998,29.6
PSC,46.264702,-119.119003,2020,4,14.148387096774194,-1.3,27.7,5.2,30.5
TPA,27.9755,-82.533203,2014,2,17.458620689655174,6.4,27.6,53.800000000000004,28.6
OKC,35.393388,-97.598248,2020,5,20.162499999999998,7.0,36.2,74.6,37.1
BUF,42.940498,-78.732201,2014,4,6.961290322580645,-4.4,22.0,120.10000000000001,35.6
EWR,40.692501,-74.168701,2019,11,5.041935483870967,-5.2,21.6,73.60000000000001,42.4
PWM,43.646198,-70.309303,2014,12,1.234375,-11.2,12.7,119.5,37.2
LGA,40.777199,-73.872597,2014,7,23.771874999999998,15.8,33.3,97.7,27.5
PIT,40.491501,-80.232903,2022,7,23.14375,14.9,32.1,118.69999999999999,22.0
FSM,35.336601,-94.367401,2020,10,16.025,2.6,30.8,121.2,24.2
LFT,30.205299,-91.987602,2021,4,19.019354838709678,5.3,28.6,238.8,34.8
JFK,40.639447,-73.779317,2016,11,8.870967741935484,-0.5,22.0,84.0,38.3
AVL,35.436199,-82.541801,2016,2,3.626666666666667,-8.8,17.8,140.90000000000003,31.1
CHS,32.898602,-80.040497,2015,5,22.237499999999997,10.1,31.6,37.1,28.3
SAT,29.533701,-98.469803,2019,12,13.131250000000001,-1.7,26.2,24.7,29.0
PIT,40.491501,-80.232903,2015,8,21.153125,12.4,30.6,45.8,15.9
BTV,44.471901,-73.153297,2019,9,16.203225806451613,5.7,26.3,104.9,33.6
SAV,32.127602,-81.202103,2020,9,24.261290322580646,12.3,37.9,145.49999999999997,26.0
BOS,42.36197,-71.0079,2022,2,-1.0827586206896553,-20.4,20.2,118.1,42.7
CVG,39.048801,-84.667801,2015,8,22.384375,13.7,30.4,73.5,19.0
MOB,30.6912,-88.242798,2017,8,26.125,19.9,32.3,257.2,30.8
LIT,34.729582,-92.223728,2019,10,16.746875,0.6,34.0,88.8,28.1
MKE,42.947201,-87.896599,2017,8,20.009375,13.5,27.6,75.1,35.2
FAY,34.991199,-78.880302,2018,11,11.080645161290322,-3.6,26.1,127.79999999999998,34.3
SJC,37.362452,-121.929188,2019,12,11.303125,2.5,19.6,157.6,33.7
LAW,34.567699,-98.416603,2014,9,25.025806451612905,12.0,37.5,31.9,29.0
PHX,33.435302,-112.005905,2018,8,34.14375,23.7,45.4,17.0,33.4
SNA,33.675701,-117.867996,2022,10,19.515625,10.5,34.4,22.4,21.9
BWI,39.1754,-76.668297,2014,10,14.981250000000001,5.6,24.0,84.30000000000001,28.2
SBA,34.426201,-119.839996,2018,7,19.765625,14.1,33.3,1.5,29.6
LBB,33.663601,-101.822998,2022,12,6.3687499999999995,-13.9,22.6,11.4,37.4
FAY,34.991199,-78.880302,2019,4,17.419354838709676,2.0,29.3,123.69999999999999,38.4
BUF,42.940498,-78.732201,2014,5,14.0,2.6,27.4,105.79999999999998,29.1
ICT,37.649899,-97.433098,2021,5,17.5875,6.2,29.6,161.0,40.0
BOI,43.5644,-116.223,2019,10,7.028125,-8.3,24.3,12.600000000000001,35.3
STT,18.337091,-64.977251,2020,5,26.984375,25.2,28.2,21.1,38.5
IAD,38.9445,-77.455803,2019,9,23.18064516129032,11.1,35.4,29.499999999999996,20.5
AVL,35.436199,-82.541801,2014,11,5.1161290322580655,-8.1,19.2,91.3,28.2
BWI,39.1754,-76.668297,2015,6,23.11935483870968,13.6,34.2,175.9,24.1
LIT,34.729582,-92.223728,2021,11,10.693548387096774,-1.1,24.8,56.900000000000006,32.2
HNL,21.32062,-157.924228,2019,4,23.983870967741936,19.1,28.3,22.499999999999996,33.2
LAS,36.083361,-115.151817,2018,12,8.459375,-1.7,17.4,10.1,35.5
MOB,30.6912,-88.242798,2015,7,28.428125,22.5,35.4,82.6,17.3
CLE,41.411701,-81.8498,2014,8,21.43125,12.4,29.8,72.9,28.1
LIH,21.976,-159.339005,2018,11,23.593548387096774,19.4,27.2,111.7,33.6
HYA,41.6693,-70.280403,2017,8,21.075000000000003,13.7,27.6,79.8,35.7
GSP,34.895699,-82.218903,2022,4,15.616129032258064,-0.2,28.3,107.60000000000001,32.2
DFW,32.896801,-97.038002,2020,1,9.965625,-0.2,24.3,157.8,33.7
LBB,33.663601,-101.822998,2014,3,11.381249999999998,-9.1,29.5,7.4,46.8
ECP,30.357106,-85.795414,2015,6,26.690322580645166,20.8,33.7,111.30000000000001,28.1
CRW,38.3731,-81.593201,2017,1,4.80625,-18.6,19.6,133.2,30.0
MKE,42.947201,-87.896599,2018,12,-0.2875,-8.7,9.2,66.60000000000001,35.4
BRD,46.402861,-94.129727,2022,9,16.925806451612903,3.8,30.1,49.9,32.3
MEM,35.0424,-89.9767,2016,4,16.925806451612903,5.2,27.3,121.1,30.2
BMI,40.4771,-88.915901,2022,5,18.0375,4.3,30.6,122.19999999999999,39.4
CID,41.884701,-91.7108,2015,11,6.087096774193548,-16.4,21.6,146.60000000000002,45.9
ORH,42.2673,-71.875702,2015,9,18.887096774193548,7.9,32.4,107.60000000000001,23.8
SEA,47.447943,-122.310276,2019,4,9.193548387096774,1.6,18.3,111.49999999999999,30.5
SBA,34.426201,-119.839996,2013,8,22.8125,16.2,31.2,0.0,28.8
BIL,45.807701,-108.542999,2019,3,-3.253125,-31.1,18.9,14.399999999999999,26.6
TRI,36.475201,-82.407401,2020,9,19.516129032258064,5.9,30.6,132.70000000000002,22.4
MDW,41.785999,-87.752403,2018,5,17.75,6.5,33.7,188.10000000000002,34.6
LGB,33.816523,-118.149891,2022,6,21.629032258064516,14.4,34.2,19.0,25.2
BOS,42.36197,-71.0079,2016,8,23.299999999999997,16.1,32.7,47.400000000000006,26.3
SJC,37.362452,-121.929188,2018,10,17.36875,9.1,28.8,11.1,23.3
GUM,13.485,144.797282,2020,12,26.700000000000003,23.9,30.3,151.7,27.6
SFO,37.619806,-122.374821,2022,9,17.425806451612903,12.3,37.3,11.6,37.2
PBI,26.683201,-80.095596,2014,3,21.65625,13.4,29.8,93.19999999999999,31.3
BQN,18.4949,-67.129402,2017,8,27.115625,25.0,28.9,62.2,43.4
FLG,35.1385,-111.670998,2013,11,4.6580645161290315,-10.1,17.0,72.99999999999999,30.1
PSC,46.264702,-119.119003,2015,11,5.293548387096774,-7.7,19.5,24.6,45.8
PWM,43.646198,-70.309303,2021,2,-3.586206896551724,-18.5,7.6,99.39999999999999,39.7
AMA,35.219398,-101.706001,2015,2,4.551724137931034,-11.4,25.4,20.499999999999996,40.3
BWI,39.1754,-76.668297,2021,2,1.4551724137931032,-8.8,14.7,152.6,29.9
SDF,38.1744,-85.736,2019,11,5.0516129032258075,-9.7,16.9,126.49999999999999,34.4
HLN,46.6068,-111.983002,2017,7,24.303125,12.4,35.8,5.3,25.9
DFW,32.896801,-97.038002,2015,10,21.475,10.8,34.5,202.7,29.8
BWI,39.1754,-76.668297,2022,10,13.034375,3.3,24.4,153.89999999999998,32.1
SEA,47.447943,-122.310276,2015,5,13.88125,5.8,25.5,27.9,21.4
JAX,30.492469,-81.687813,2023,7,27.643749999999997,22.2,36.9,170.1,24.0
SEA,47.447943,-122.310276,2017,3,6.359375,-0.7,14.0,262.6,38.6
SHV,32.446602,-93.8256,2020,10,18.206249999999997,5.8,30.6,83.19999999999999,29.8
PHL,39.871899,-75.241096,2014,12,3.94375,-4.5,17.9,123.29999999999998,27.6
FLG,35.1385,-111.670998,2019,5,8.306249999999999,-6.3,21.3,92.69999999999999,39.7
DFW,32.896801,-97.038002,2020,12,9.1125,-1.6,24.0,108.99999999999999,38.6
PHL,39.871899,-75.241096,2015,10,13.325,-0.3,25.1,102.30000000000001,32.3
SDF,38.1744,-85.736,2022,9,20.664516129032258,7.1,34.9,55.5,24.7
RKS,41.5942,-109.065001,2020,9,14.051612903225807,-3.6,31.7,15.7,60.5
SLC,40.78886,-111.979866,2016,6,23.93870967741935,10.6,36.4,30.599999999999998,25.2
SJU,18.4394,-66.001801,2019,7,27.8,23.7,32.0,118.0,27.8
OMA,41.3032,-95.894096,2013,8,24.75625,14.0,36.2,42.7,29.7
LBB,33.663601,-101.822998,2022,10,16.353125,4.1,29.5,37.9,39.3
MYR,33.679699,-78.928299,2023,4,18.26774193548387,6.9,27.3,115.5,33.5
DFW,32.896801,-97.038002,2015,11,13.919354838709678,2.1,26.2,227.1,38.1
BOS,42.36197,-71.0079,2021,3,4.225,-12.0,20.1,74.6,41.6
PHX,33.435302,-112.005905,2019,9,30.22903225806452,14.9,43.4,66.2,39.5
MHT,42.932598,-71.435699,2016,11,5.474193548387096,-1.7,18.7,85.10000000000001,29.3
SNA,33.675701,-117.867996,2019,10,20.18125,10.6,35.9,0.3,37.2
LAX,33.942501,-118.407997,2016,7,22.571875,14.7,34.9,0.0,21.6
DSM,41.534,-93.663101,2013,12,-6.653125,-30.3,10.3,29.799999999999997,33.5
EYW,24.556101,-81.759598,2023,4,25.60322580645162,22.1,28.4,99.60000000000001,49.3
LFT,30.205299,-91.987602,2020,4,20.570967741935483,8.6,30.3,75.30000000000001,37.5
MEM,35.0424,-89.9767,2022,7,29.112499999999997,20.9,37.3,100.1,23.8
ABQ,35.039976,-106.608925,2023,4,13.92258064516129,-4.9,30.9,4.3999999999999995,43.0
TRI,36.475201,-82.407401,2019,8,23.5375,12.7,33.4,81.6,15.3
LAS,36.083361,-115.151817,2015,6,31.88709677419354,16.4,42.9,0.5,22.9
BQN,18.4949,-67.129402,2022,2,24.141379310344828,21.2,26.5,35.099999999999994,45.8
ORF,36.895341,-76.201,2023,4,16.593548387096774,3.1,30.2,134.5,45.6
SBA,34.426201,-119.839996,2019,3,12.91875,8.0,19.9,116.69999999999999,33.2
SAT,29.533701,-98.469803,2021,5,23.003125,15.1,33.6,251.99999999999997,34.9
CHA,35.035301,-85.203796,2016,6,26.44516129032258,14.9,36.2,65.39999999999999,18.6
CLE,41.411701,-81.8498,2019,10,13.653125,0.6,30.3,96.39999999999999,49.6
MHT,42.932598,-71.435699,2015,10,10.184375,-2.2,23.8,52.099999999999994,24.3
FAY,34.991199,-78.880302,2013,10,17.759375,1.7,29.8,37.5,30.1
TUS,32.115004,-110.938053,2019,2,10.120689655172415,-2.0,23.9,67.5,43.8
PWM,43.646198,-70.309303,2020,9,17.03548387096774,6.3,27.5,23.2,41.5
BIL,45.807701,-108.542999,2020,4,6.041935483870967,-14.9,26.0,32.599999999999994,41.7
BOS,42.36197,-71.0079,2018,8,23.815624999999997,14.6,35.4,109.8,25.5
BOS,42.36197,-71.0079,2022,1,-3.4531250000000004,-19.7,11.3,104.4,54.0
FWA,40.9785,-85.195099,2017,1,0.3500000000000001,-16.7,17.1,98.5,49.3
PDX,45.588699,-122.598,2016,2,7.76,-1.6,17.7,128.89999999999998,29.2
VPS,30.4832,-86.525398,2016,9,26.338709677419356,16.7,32.3,91.5,25.6
MSN,43.1399,-89.337502,2013,10,10.725,-1.6,25.3,84.9,33.1
YUM,32.650938,-114.609375,2020,1,13.643749999999999,1.4,25.6,3.6,26.7
TPA,27.9755,-82.533203,2019,5,26.371875,19.6,36.6,70.4,30.9
VPS,30.4832,-86.525398,2019,2,16.613793103448277,5.3,23.1,84.10000000000001,36.1
OAK,37.720085,-122.221184,2021,4,12.319354838709677,7.5,26.2,4.8,30.9
STL,38.748697,-90.370003,2017,2,7.596551724137932,-7.8,23.4,34.0,38.3
IAD,38.9445,-77.455803,2018,1,0.3906250000000001,-14.8,17.8,50.300000000000004,34.6
ONT,34.056,-117.600998,2014,10,21.01875,11.2,36.8,12.600000000000001,17.2
STL,38.748697,-90.370003,2023,6,23.599999999999994,12.0,34.3,110.19999999999997,27.5
MDW,41.785999,-87.752403,2016,9,20.635483870967743,11.1,31.3,81.10000000000001,29.0
GSO,36.097801,-79.937302,2017,10,16.45625,2.2,27.6,57.0,30.3
