feature,clf_importance,reg_importance
num__arr_flights,0.40559217,0.23524645
num__arr_del15,0.54731256,0.030792145
num__carrier_ct,0.04980747,0.018671542
num__weather_ct,0.008725903,0.008101828
num__nas_ct,0.07606568,0.016526904
num__security_ct,0.00016470705,0.00075146544
num__late_aircraft_ct,0.10894303,0.053725615
num__arr_cancelled,0.0042054704,0.0028399376
num__arr_diverted,0.0023442328,0.0021293843
num__arr_delay,0.022770954,0.23695333
num__carrier_delay,0.01563143,0.023614753
num__weather_delay,0.026348222,0.022346457
num__nas_delay,0.027078507,0.009159054
num__security_delay,0.0,0.00024766035
num__late_aircraft_delay,0.020111501,0.050737027
num__temperature_2m_mean,0.00044665398,0.0023512014
num__precipitation_sum,0.003042242,0.0026382187
num__windspeed_10m_max,0.00016330277,0.004689316
num__delay_rate,8.455123,0.06947909
num__avg_delay_per_flight,0.90978545,6.559609
cat__carrier_9E,0.0066527072,0.00027519235
cat__carrier_AA,0.001454851,0.0
cat__carrier_AS,0.0010840218,0.0
cat__carrier_B6,0.0030185774,0.0
cat__carrier_DL,0.024663435,0.001601037
cat__carrier_EV,0.0011275955,0.00097381376
cat__carrier_F9,0.006618369,9.424296e-05
cat__carrier_FL,0.0,0.0
cat__carrier_G4,0.009035573,0.0012455934
cat__carrier_HA,0.0011272585,0.0007021236
cat__carrier_MQ,0.0018117364,0.0008672639
cat__carrier_NK,0.00012745472,9.4000956e-05
cat__carrier_OH,0.00032492366,3.8110247e-05
cat__carrier_OO,0.0026606722,0.0007718717
cat__carrier_QX,0.0,0.0
cat__carrier_UA,0.0,0.0006051763
cat__carrier_US,0.00018250589,0.0001094246
cat__carrier_VX,7.3453746e-05,0.0
cat__carrier_WN,0.019952605,0.0
cat__carrier_YV,0.00010519312,0.0004904548
cat__carrier_YX,0.0,4.862975e-05
cat__carrier_name_AirTran Airways Corporation,0.0,0.0
cat__carrier_name_Alaska Airlines Inc.,0.0006464704,0.0
cat__carrier_name_Allegiant Air,0.0,0.0
cat__carrier_name_American Airlines Inc.,0.0,0.0
cat__carrier_name_American Eagle Airlines Inc.,0.0,0.0
cat__carrier_name_Delta Air Lines Inc.,0.01417157,0.0
cat__carrier_name_Endeavor Air Inc.,0.0014643684,0.0
cat__carrier_name_Envoy Air,0.0,0.005159699
cat__carrier_name_ExpressJet Airlines Inc.,0.00031483042,0.0012805326
cat__carrier_name_ExpressJet Airlines LLC,0.0,0.00011371879
cat__carrier_name_Frontier Airlines Inc.,0.004583632,0.0
cat__carrier_name_Hawaiian Airlines Inc.,0.00033196041,0.0
cat__carrier_name_Horizon Air,0.0,0.0
cat__carrier_name_JetBlue Airways,0.002413132,0.0
cat__carrier_name_Mesa Airlines Inc.,0.0,0.0
cat__carrier_name_PSA Airlines Inc.,0.0008133897,0.0
cat__carrier_name_Republic Airline,0.0020848503,0.0
cat__carrier_name_SkyWest Airlines Inc.,0.0039178487,0.0
cat__carrier_name_Southwest Airlines Co.,0.008895294,0.0
cat__carrier_name_Spirit Air Lines,0.0,0.0
cat__carrier_name_US Airways Inc.,0.00020317263,0.0
cat__carrier_name_United Air Lines Inc.,0.00112108,0.0
cat__carrier_name_Virgin America,0.0,0.0
cat__airport_ABE,0.0,0.0
cat__airport_ABI,0.0,0.0
cat__airport_ABQ,0.0,0.0
cat__airport_ABR,0.0,0.0
cat__airport_ABY,0.0,0.0
cat__airport_ACK,0.0,0.0
cat__airport_ACT,0.0,0.0
cat__airport_ACV,0.0,7.496276e-05
cat__airport_ACY,0.0,0.0
cat__airport_ADK,5.6311423e-05,0.0
cat__airport_ADQ,0.0,0.0
cat__airport_AEX,0.0,0.0
cat__airport_AGS,3.0119752e-05,0.0
cat__airport_AKN,0.0,0.0
cat__airport_ALB,0.0,0.0
cat__airport_ALO,0.0,0.0
cat__airport_ALS,0.0,0.0
cat__airport_ALW,0.0,0.0
cat__airport_AMA,0.0,0.0
cat__airport_ANC,8.3914776e-05,0.0
cat__airport_APN,0.0,0.0
cat__airport_ART,0.0,0.0
cat__airport_ASE,0.0,0.0
cat__airport_ATL,0.0,0.0
cat__airport_ATW,0.0,0.0
cat__airport_ATY,0.0,0.0
cat__airport_AUS,0.0,0.0
cat__airport_AVL,0.0,0.0
cat__airport_AVP,0.0,0.0
cat__airport_AZA,0.0,0.0
cat__airport_AZO,0.0,0.0
cat__airport_BDL,0.0,0.0
cat__airport_BET,0.0,0.0
cat__airport_BFF,0.0,0.0
cat__airport_BFL,0.0,0.0
cat__airport_BFM,0.0,0.0
cat__airport_BGM,0.0,0.0
cat__airport_BGR,0.0,0.0
cat__airport_BHM,0.0,3.9276845e-05
cat__airport_BIH,0.0,0.0
cat__airport_BIL,0.0,0.0
cat__airport_BIS,0.0,0.0
cat__airport_BJI,0.0,0.0
cat__airport_BKG,0.0,0.0
cat__airport_BLI,0.0,0.0
cat__airport_BLV,0.0,0.0
cat__airport_BMI,0.0,0.0
cat__airport_BNA,0.0,0.0
cat__airport_BOI,0.0,0.0
cat__airport_BOS,0.0,0.00026742593
