feature,mean_abs_shap
cat__airport_IPT,40.51174
num__carrier_delay_per_flight,7.949002
num__delay_rate,7.085554
num__arr_flights,6.934354
cat__airport_IFP,6.483999
num__nas_delay_per_flight,5.3238826
cat__airport_PPG,4.3220663
num__weather_delay_per_flight,3.439955
cat__airport_ILG,3.1294913
num__late_aircraft_delay_per_flight,2.7835429
cat__airport_XWA,2.017379
num__month,1.9057485
num__year,1.8154281
cat__airport_OWB,1.6280601
cat__airport_MLI,1.6177666
cat__airport_JNU,1.3253065
cat__airport_SMX,1.2799959
cat__airport_LCH,0.8273715
cat__airport_JAN,0.71397865
cat__airport_BOS,0.64236015
